city_id,city_name,country_code,official_name_local,display_name_ko,official_name_en,category,source_url,notes
jp-osaka,오사카,JP,ユニバーサル・スタジオ・ジャパン,유니버설 스튜디오 재팬,Universal Studios Japan,theme_park,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,道頓堀,도톤보리,Dotonbori,area,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,大阪城,오사카성,Osaka Castle,castle,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,梅田スカイビル 空中庭園展望台,우메다 스카이빌딩 공중정원,Umeda Sky Building Kuchu Teien Observatory,observatory,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,あべのハルカス,아베노 하루카스,Abeno Harukas,observatory,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,海遊館,가이유칸,Osaka Aquarium Kaiyukan,aquarium,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,通天閣,쓰텐카쿠,Tsutenkaku Tower,tower,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-osaka,오사카,JP,新世界,신세카이,Shinsekai,area,https://osaka-info.jp/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,浅草寺,센소지,Sensoji Temple,temple,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,東京スカイツリー,도쿄 스카이트리,Tokyo Skytree,tower,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,東京タワー,도쿄 타워,Tokyo Tower,tower,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,渋谷スクランブル交差点,시부야 스크램블 교차로,Shibuya Scramble Crossing,area,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,明治神宮,메이지 신궁,Meiji Jingu Shrine,shrine,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,上野公園,우에노 공원,Ueno Park,park,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,チームラボプラネッツ TOKYO,팀랩 플래닛 도쿄,teamLab Planets TOKYO,museum,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-tokyo,도쿄,JP,豊洲市場,도요스 시장,Toyosu Market,market,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,清水寺,기요미즈데라,Kiyomizu-dera Temple,temple,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,伏見稲荷大社,후시미 이나리 신사,Fushimi Inari Taisha Shrine,shrine,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,金閣寺,금각사,Kinkaku-ji Temple,temple,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,嵐山,아라시야마,Arashiyama,area,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,二条城,니조성,Nijo Castle,castle,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,祇園,기온,Gion,area,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,京都御苑,교토 교엔,Kyoto Gyoen National Garden,garden,https://kyoto.travel/,official/DMO seed for first-pass city comparison
jp-kyoto,교토,JP,錦市場,니시키 시장,Nishiki Market,market,https://kyoto.travel/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,경복궁,경복궁,Gyeongbokgung Palace,palace,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,N서울타워,N서울타워,N Seoul Tower,tower,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,북촌한옥마을,북촌한옥마을,Bukchon Hanok Village,area,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,창덕궁,창덕궁,Changdeokgung Palace,palace,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,동대문디자인플라자,동대문디자인플라자,Dongdaemun Design Plaza,landmark,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,남대문시장,남대문시장,Namdaemun Market,market,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,한강공원,한강공원,Hangang Park,park,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-seoul,서울,KR,롯데월드,롯데월드,Lotte World,theme_park,https://korean.visitseoul.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,해운대해수욕장,해운대해수욕장,Haeundae Beach,beach,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,감천문화마을,감천문화마을,Gamcheon Culture Village,area,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,광안리해수욕장,광안리해수욕장,Gwangalli Beach,beach,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,자갈치시장,자갈치시장,Jagalchi Market,market,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,태종대,태종대,Taejongdae,park,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,해동용궁사,해동용궁사,Haedong Yonggungsa Temple,temple,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,부산타워,부산타워,Busan Tower,tower,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
kr-busan,부산,KR,송도해상케이블카,송도해상케이블카,Songdo Marine Cable Car,activity,https://www.visitbusan.net/,official/DMO seed for first-pass city comparison
