anchor_id,city_id,city_name,country_code,anchor_name,anchor_name_local,anchor_name_en,anchor_type,official_source_type,source_dataset,source_record_id,source_url,description,category,address,lat,lng,start_date,end_date,price_text,evidence_text,confidence,review_status,match_ready,notes
official-seed-jp-osaka-ユニバ-サル-スタジオ-ジャパン,jp-osaka,오사카,JP,ユニバーサル・スタジオ・ジャパン,ユニバーサル・スタジオ・ジャパン,Universal Studios Japan,place,tourism_seed,multicity_tourism_seed_assets,1,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,theme_park,,,,,,,ユニバーサル・スタジオ・ジャパン / 유니버설 스튜디오 재팬 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 유니버설 스튜디오 재팬
official-seed-jp-osaka-道頓堀,jp-osaka,오사카,JP,道頓堀,道頓堀,Dotonbori,place,tourism_seed,multicity_tourism_seed_assets,2,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,area,,,,,,,道頓堀 / 도톤보리 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 도톤보리
official-seed-jp-osaka-大阪城,jp-osaka,오사카,JP,大阪城,大阪城,Osaka Castle,place,tourism_seed,multicity_tourism_seed_assets,3,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,castle,,,,,,,大阪城 / 오사카성 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 오사카성
official-seed-jp-osaka-梅田スカイビル-空中庭園展望台,jp-osaka,오사카,JP,梅田スカイビル 空中庭園展望台,梅田スカイビル 空中庭園展望台,Umeda Sky Building Kuchu Teien Observatory,place,tourism_seed,multicity_tourism_seed_assets,4,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,observatory,,,,,,,梅田スカイビル 空中庭園展望台 / 우메다 스카이빌딩 공중정원 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 우메다 스카이빌딩 공중정원
official-seed-jp-osaka-あべのハルカス,jp-osaka,오사카,JP,あべのハルカス,あべのハルカス,Abeno Harukas,place,tourism_seed,multicity_tourism_seed_assets,5,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,observatory,,,,,,,あべのハルカス / 아베노 하루카스 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 아베노 하루카스
official-seed-jp-osaka-海遊館,jp-osaka,오사카,JP,海遊館,海遊館,Osaka Aquarium Kaiyukan,place,tourism_seed,multicity_tourism_seed_assets,6,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,aquarium,,,,,,,海遊館 / 가이유칸 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 가이유칸
official-seed-jp-osaka-通天閣,jp-osaka,오사카,JP,通天閣,通天閣,Tsutenkaku Tower,place,tourism_seed,multicity_tourism_seed_assets,7,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,tower,,,,,,,通天閣 / 쓰텐카쿠 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 쓰텐카쿠
official-seed-jp-osaka-新世界,jp-osaka,오사카,JP,新世界,新世界,Shinsekai,place,tourism_seed,multicity_tourism_seed_assets,8,https://osaka-info.jp/,official/DMO seed for first-pass city comparison,area,,,,,,,新世界 / 신세카이 / https://osaka-info.jp/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 신세카이
official-seed-jp-tokyo-浅草寺,jp-tokyo,도쿄,JP,浅草寺,浅草寺,Sensoji Temple,place,tourism_seed,multicity_tourism_seed_assets,9,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison,temple,,,,,,,浅草寺 / 센소지 / https://www.gotokyo.org/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 센소지
official-seed-jp-tokyo-東京スカイツリ,jp-tokyo,도쿄,JP,東京スカイツリー,東京スカイツリー,Tokyo Skytree,place,tourism_seed,multicity_tourism_seed_assets,10,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison,tower,,,,,,,東京スカイツリー / 도쿄 스카이트리 / https://www.gotokyo.org/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 도쿄 스카이트리
official-seed-jp-tokyo-東京タワ,jp-tokyo,도쿄,JP,東京タワー,東京タワー,Tokyo Tower,place,tourism_seed,multicity_tourism_seed_assets,11,https://www.gotokyo.org/,official/DMO seed for first-pass city comparison,tower,,,,,,,東京タワー / 도쿄 타워 / https://www.gotokyo.org/,0.82,seed_for_first_pass,true,First-pass multi-city tourism seed. Korean display name: 도쿄 타워
