source_product,source_url,recommended_title,label,reason
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","블루마운틴 + 야생동물 공원 + 시닉월드 3종","직접 비교 가능","같은 여행지와 핵심 구성"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","블루마운틴 + 시닉월드 + 동물원 + 페리","직접 비교 가능","같은 여행지와 핵심 구성"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","캥거루와 코알라 포함 프라이빗 블루마운틴 투어","직접 비교 가능","같은 여행지와 동물 체험을 포함한 대체 투어"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","블루마운틴 시닉월드 무제한 입장권","부분 비교 가능","같은 장소지만 가이드 투어가 아닌 입장권"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","블루마운틴 일몰 + 웬트워스 폭포 + 야생동물 관찰","직접 비교 가능","같은 여행지의 대체 일일투어"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","로바니에미 스노모빌 + 순록 + 허스키 체험","무관","국가와 핵심 경험이 모두 다름"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","시닉월드 + 시드니 동물원 + 페리 블루마운틴 소그룹","직접 비교 가능","같은 여행지와 핵심 구성"
"블루마운틴 어드벤처 + 시닉월드 3종 + 코알라","https://experiences.myrealtrip.com/products/5906751","시닉월드 + 노을 + 별 블루마운틴 단독투어","직접 비교 가능","같은 여행지의 대체 투어"
"나폴리 국립 고고학 박물관 가이드 투어","https://experiences.myrealtrip.com/products/5868438","나폴리 국립 고고학 박물관 우선 입장권 + 오디오 가이드","부분 비교 가능","같은 장소지만 가이드 투어와 입장권의 형태 차이"
"나폴리 국립 고고학 박물관 가이드 투어","https://experiences.myrealtrip.com/products/5868438","아테네 국립 고고학 박물관 전문 가이드 투어","무관","박물관 유형만 같고 여행지가 다름"
"두브로브니크 시티 패스","https://experiences.myrealtrip.com/products/5826331","두브로브니크 패스 성벽티켓 포함","직접 비교 가능","같은 도시의 같은 패스형 상품"
"두브로브니크 시티 패스","https://experiences.myrealtrip.com/products/5826331","엘라피티 제도 3섬 보트 투어","무관","같은 지역권이지만 구매 목적이 다름"
"두브로브니크 시티 패스","https://experiences.myrealtrip.com/products/5826331","두브로브니크 블루 케이브 프라이빗 보트 투어","무관","같은 도시지만 구매 목적이 다름"
"뉴포트 비치 고래 관찰 크루즈","https://experiences.myrealtrip.com/products/5820734","뉴포트비치 고래 관찰 크루즈 2.5시간","직접 비교 가능","같은 출발지와 같은 핵심 경험"
"뉴포트 비치 고래 관찰 크루즈","https://experiences.myrealtrip.com/products/5820734","뉴포트 비치 고래·돌고래 관찰 크루즈","직접 비교 가능","같은 출발지와 같은 핵심 경험"
"뉴포트 비치 고래 관찰 크루즈","https://experiences.myrealtrip.com/products/5820734","마데이라 고래·돌고래 관찰 투어","무관","활동은 같지만 여행지가 다름"
"뉴포트 비치 고래 관찰 크루즈","https://experiences.myrealtrip.com/products/5820734","골포 아란치 돌고래 관찰 보트 투어","무관","활동은 같지만 여행지가 다름"
"뉴포트 비치 고래 관찰 크루즈","https://experiences.myrealtrip.com/products/5820734","푸엔히로라 돌고래 관찰 카타마란","무관","활동은 같지만 여행지가 다름"
